MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
sp|P11169|GTR3_HUMAN	sp|P14672|GTR4_HUMAN	1e-05	30	0.895902242547
	gi|121760|sp|P11169.1|GTR3_HUM	sp|P11169|GTR3_HUMAN	gi|68565451|sp|Q5R608.1|GTR3_P	gi|1346212|sp|P47843.1|GTR3_SH	gi|17366301|sp|P58352.1|GTR3_B	gi|1346211|sp|P47842.1|GTR3_CA	gi|585228|sp|Q07647.1|GTR3_RAT	gi|399833|sp|P32037.1|GTR3_MOU	gi|17367243|sp|Q9XSC2.1|GTR3_R	gi|121759|sp|P28568.1|GTR3_CHI	gi|677286723|sp|P20303.2|GTR1_	gi|613505051|sp|Q8IRI6.4|GTR1_	gi|68566443|sp|Q863Y9.1|GTR5_H	gi|74958755|sp|O44827.2|FGT1_C	gi|117940139|sp|Q56ZZ7.2|PLST4	gi|33518615|sp|P46333.3|CSBC_B



Distance Matrix QUERY2

gi|677286723|sp|P20303.2|GTR1_	0
gi|121754|sp|P13355.1|GTR1_RAB	0.02613590671491761	0
gi|1170103|sp|P46896.1|GTR1_CH	0.09523809523809523	0.10537021969080551	0
gi|1346211|sp|P47842.1|GTR3_CA	0.3178294573643411	0.3234094616639478	0.3139344262295082	0
gi|1346212|sp|P47843.1|GTR3_SH	0.32728006456820014	0.32889426957223566	0.31985442782046103	0.08090614886731395	0
gi|68565451|sp|Q5R608.1|GTR3_P	0.3008510638297872	0.30978723404255315	0.31343283582089554	0.0821276595744681	0.1035214255409419	0
gi|121761|sp|P14672.1|GTR4_HUM	0.3218020917135961	0.3345396059509449	0.3336048879837067	0.4156479217603912	0.42448650825614176	0.3893617021276595	0
sp|P14672|GTR4_HUMAN	0.3218020917135961	0.3345396059509449	0.3336048879837067	0.4156479217603912	0.42448650825614176	0.3893617021276595	0.0	0
gi|341941082|sp|P14142.3|GTR4_	0.32542236524537405	0.33735424205870523	0.3393075356415478	0.4168704156479217	0.42811115585984694	0.3940425531914894	0.038955979742890556	0.038955979742890556	0
gi|121763|sp|P19357.1|GTR4_RAT	0.32622687047465804	0.3381584238037797	0.3393075356415478	0.41850040749796247	0.4309303262182843	0.3970212765957447	0.04171539961013648	0.04171539961013648	0.015192832099727327	0
gi|146345429|sp|Q27994.2|GTR4_	0.32341110217216407	0.33172496984318456	0.33523421588594704	0.41850040749796247	0.4293193717277487	0.39191489361702125	0.05036807438977142	0.05036807438977142	0.0561797752808989	0.057729562185199534	0
gi|613505051|sp|Q8IRI6.4|GTR1_	0.4587782998718496	0.46091413925672786	0.46646732165741134	0.47244767193507053	0.4594363791631084	0.482595616673829	0.47330200768902175	0.47330200768902175	0.4715933361811192	0.47629218282785135	0.4715933361811192	0
gi|68566443|sp|Q863Y9.1|GTR5_H	0.567845394736842	0.5721331689272503	0.5653078202995008	0.5766998341625207	0.5818556701030928	0.574468085106383	0.5764802631578947	0.5764802631578947	0.5838815789473684	0.5830592105263157	0.5816242821985234	0.5866326096211154	0
gi|74958755|sp|O44827.2|FGT1_C	0.6021141649048626	0.6059196617336152	0.604006820119352	0.5820578231292517	0.5857385398981324	0.5913932680017043	0.6295983086680761	0.6295983086680761	0.6249471458773784	0.6257928118393234	0.626215644820296	0.5556506849315068	0.6209507782919647	0
gi|33518615|sp|P46333.3|CSBC_B	0.7157502329916123	0.7186772240335352	0.7172799254774103	0.728743068391867	0.7251032583754016	0.7324723247232472	0.7000467945718296	0.7000467945718296	0.7019185774450164	0.7075339260645765	0.7106124357176251	0.7125114995400184	0.7566433566433566	0.7391304347826086	0
gi|117940139|sp|Q56ZZ7.2|PLST4	0.7210031347962382	0.7278424350940018	0.7172632532850023	0.7114003590664273	0.7149866190900982	0.7230425055928411	0.7376760563380282	0.7376760563380282	0.7438488576449912	0.7449428320140721	0.7487964989059082	0.7153846153846154	0.7293802942487739	0.7273538598839804	0.657907085875176	0
	gi|677286723|sp|P20303.2|GTR1_	gi|121754|sp|P13355.1|GTR1_RAB	gi|1170103|sp|P46896.1|GTR1_CH	gi|1346211|sp|P47842.1|GTR3_CA	gi|1346212|sp|P47843.1|GTR3_SH	gi|68565451|sp|Q5R608.1|GTR3_P	gi|121761|sp|P14672.1|GTR4_HUM	sp|P14672|GTR4_HUMAN	gi|341941082|sp|P14142.3|GTR4_	gi|121763|sp|P19357.1|GTR4_RAT	gi|146345429|sp|Q27994.2|GTR4_	gi|613505051|sp|Q8IRI6.4|GTR1_	gi|68566443|sp|Q863Y9.1|GTR5_H	gi|74958755|sp|O44827.2|FGT1_C	gi|33518615|sp|P46333.3|CSBC_B	gi|117940139|sp|Q56ZZ7.2|PLST4
